,Description,Duration,Location,Occurred,Posted,Reported,Shape
0,"I also reported on the Mastic Beach sighting in which I saw 1st hand.  This sighting was witnessed by a close friend of mine who managed to snap a photo very similar to what I've witnessed, the object was above the bay north east of Jones Beach State Park off of Ocean Pkwy.   ""Just a solid white light hovering""((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:?,"Location: Wantagh, NY",Occurred : 11/2/2016 17:35  (Entered as : 11/02/16 17:35),Posted: 11/4/2016,Reported: 11/2/2016 4:12:26 PM 16:12,Shape: Circle
1,The object was round and had a red light with a blinking green light.,Duration:,"Location: Robstown, TX",Occurred : 11/1/2016 22:15  (Entered as : 11/01/16 22:15),Posted: 12/5/2016,Reported: 11/26/2016 11:26:05 AM 11:26,Shape: Circle
2,Triangle shaped UFO Silently Flies Over Small Northern California Town.We saw a triangle shaped ufo with three dimly lit white circles on each corner.  It flew silently almost right above us at a steady speed and disappeared into the horizon in about 15 seconds.  We we're shocked at how quick it moved and how it made no noise.  It seemed to be heading south maybe slightly east.,Duration:10-15 seconds,"Location: Eureka, CA",Occurred : 11/1/2016 22:00  (Entered as : 11/01/16 22:00),Posted: 11/4/2016,Reported: 11/1/2016 10:50:34 PM 22:50,Shape: Triangle
3,"There was a bright light in the sky and after a few seconds it just went dark.  Then reappeared to the east.  It continued to do this for about 15 mins.  Then we witnessed 2 flashes lined up next to each other.  They did the same thing, got really bright and then just went.  We also witnessed a bunch of small red lights moving very fast in odd directions around the same vicinity as the bright flashes.  After about an hour they were just gone and didn't come back.  Witnesses were 34, 35, and 10.",Duration:30 minutes,"Location: Centerton, AR",Occurred : 11/1/2016 20:30  (Entered as : 11/01/2016 20:30),Posted: 11/4/2016,Reported: 11/2/2016 9:00:06 AM 09:00,Shape: Flash
4,Just pulled up to my girlfriends house.  Got out of the car and I witnessed a bright green fireball just above the clouds traveling from West to East by the compass on my phone witch is rt 28 exit 13 north from pittsburgh.,Duration:10 seconds,"Location: Tarentum, PA",Occurred : 11/1/2016 20:25  (Entered as : 11/1/16 20:25),Posted: 11/4/2016,Reported: 11/1/2016 8:02:19 PM 20:02,Shape: Fireball
5,"millitary Helicopter chasing blue light.At 820 pm, I of served a military hellicoptor flying low following a blue round light in sky which appeared small and traveling the same speed of the helicopter",Duration:30 seconds,"Location: Miller Place, NY",Occurred : 11/1/2016 20:20  (Entered as : 11/1/16 20:20),Posted: 11/4/2016,Reported: 11/1/2016 5:39:30 PM 17:39,Shape: Other
6,Saw a round light do a very fast zigzag maneuver from sky to horizon and disappeared. Moved very differently from normal aircraft in area.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),Duration:5 seconds,"Location: Hackensack, NJ",Occurred : 11/1/2016 20:20  (Entered as : 11/01/2016 20:20),Posted: 11/4/2016,Reported: 11/1/2016 5:53:22 PM 17:53,Shape: Light
7,"Was in the passenger seat, driving home through Mississauaga.Time was approx. 8:15pm EST.GIANT glowing green object fell from the sky in a downward trajectory.There was no sound.Biggest object in the sky I had ever seen.Same thing was spotted in the USA, Japan and New Zealand.Please have investigator contact me.I want to know if it was properly identified yet.Many thanks,  ((name deleted))",Duration:3 seconds,"Location: Mississauga (Canada), ON",Occurred : 11/1/2016 20:15  (Entered as : 11/1/16 20:15),Posted: 11/11/2016,Reported: 11/8/2016 8:43:43 AM 08:43,Shape: Circle
8,"driving home i saw a cluster of small blue orbs in a formation in the north west formation.Driving up suburban road in a northwest direction, this would be in the direction to western Maryland, West Virginia, and Pennsylvania..  Driving up i noticed what I first thought to be a firework that had just exploded from the look of spread out blue orbs.  Getting a better look i noticed that these where stationary blue orbs, these orbs where a type of blue that is akin to the color of dark tropical water, with a majority of them clustered in a vertical line and to the immediate right around five of these orbs where spread out but still within the height of the first vertical cluster.  These orbs stayed in a stationary location, I went inside my house and check up on them about ten minuets after first seeing them, and they where no longer visible.  i did not see them disperse.  Living near a large international airport i see many planes and many types of them and this was absolutely not a plane or any other conventional type aircraft that i have ever seen based on the formation of the lights and the lack of movement within the formation itself.  while driving home i did have unusual radio problems.",Duration:10 minutes,"Location: Ashburn, VA",Occurred : 11/1/2016 20:05  (Entered as : 11/01/16 20:05),Posted: 11/4/2016,Reported: 11/1/2016 5:32:59 PM 17:32,Shape: Formation
9,"3 sets of huge burnt orange and burnt yellow lights above been field were there then just disappeared, hard to tell all in a text.",Duration:30 seconds,"Location: Circleville, OH",Occurred : 11/1/2016 20:05  (Entered as : 11/01/2016 20:05),Posted: 11/11/2016,Reported: 11/4/2016 9:15:38 PM 21:15,Shape: Other
