State,Abbreviation,Postal_Code,Population_2016
Alabama,Ala.,AL,"4,863,300"
Alaska,Alaska,AK,"741,894"
Arizona,Ariz.,AZ,"6,931,071"
Arkansas,Ark.,AR,"2,988,248"
California,Calif.,CA,"39,250,017"
Colorado,Colo.,CO,"5,540,545"
Connecticut,Conn.,CT,"3,576,452"
Delaware,Del.,DE,"952,065"
District of Columbia,D.C.,DC,"681,170"
Florida,Fla.,FL,"20,612,439"
Georgia,Ga.,GA,"10,310,371"
Hawaii,Hawaii,HI,"1,428,557"
Idaho,Idaho,ID,"1,683,140"
Illinois,Ill.,IL,"12,801,539"
Indiana,Ind.,IN,"6,633,053"
Iowa,Iowa,IA,"3,134,693"
Kansas,Kans.,KS,"2,907,289"
Kentucky,Ky.,KY,"4,436,974"
Louisiana,La.,LA,"4,681,666"
Maine,Maine,ME,"1,331,479"
Maryland,Md.,MD,"6,016,447"
Massachusetts,Mass.,MA,"6,811,779"
Michigan,Mich.,MI,"9,928,300"
Minnesota,Minn.,MN,"5,519,952"
Mississippi,Miss.,MS,"2,988,726"
Missouri,Mo.,MO,"6,093,000"
Montana,Mont.,MT,"1,042,520"
Nebraska,Nebr.,NE,"1,907,116"
Nevada,Nev.,NV,"2,940,058"
New Hampshire,N.H.,NH,"1,334,795"
New Jersey,N.J.,NJ,"8,944,469"
New Mexico,N.M.,NM,"2,081,015"
New York,N.Y.,NY,"19,745,289"
North Carolina,N.C.,NC,"10,146,788"
North Dakota,N.D.,ND,"757,952"
Ohio,Ohio,OH,"11,614,373"
Oklahoma,Okla.,OK,"3,923,561"
Oregon,Ore.,OR,"4,093,465"
Pennsylvania,Pa.,PA,"12,784,227"
Rhode Island,R.I.,RI,"1,056,426"
South Carolina,S.C.,SC,"4,961,119"
South Dakota,S.D.,SD,"865,454"
Tennessee,Tenn.,TN,"6,651,194"
Texas,Tex.,TX,"27,862,596"
Utah,Utah,UT,"3,051,217"
Vermont,Vt.,VT,"624,594"
Virginia,Va.,VA,"8,411,808"
Washington,Wash.,WA,"7,288,000"
West Virginia,W.Va.,WV,"1,831,102"
Wisconsin,Wis.,WI,"5,778,708"
Wyoming,Wyo.,WY,"585,501"
,,,
Source: U.S. Census Bureau - Population estimates December 2016,,,
