,Description,Duration,Location,Occurred,Posted,Reported,Shape
0,"At approx. 1PM, this day September 12, 2017, heard “jet”,?  so close over the house bringing neighbors outside  To  see ,could not identify if commercial or Military  lasted 15 seconds ,was extremely close to house perhaps below 500 feet, nothing seen by The time we got outside.  no trails .FAA of no help…Police no help…Nevada, Las Vegas",Duration:15 seconds,"Location: Las Vegas, NV",Occurred : 9/12/2017 13:00  (Entered as : 09122017 12:00),Posted: 9/12/2017,Reported: 9/12/2017 1:35:49 PM 13:35,Shape: Unknown
1,"Flickering white lights due west in a curved, symmetrical pattern, moving downward to the south.Looking from my bedroom window to the west, I saw 6 sparkling lights in the sky.  At first I thought that they were possibly airplanes, satellites, or twinkling stars, but they were bright and close enough together not to be planes.  They were slowly moving downward in a southern direction.  Two of them slowly faded away while holding their position, while the remaining four kept moving in a southern direction until I couldn't see them anymore.  I've never seen sparkling lights in the morning sky moving in such a curved, symmetrical pattern.  Interesting to watch, but odd.",Duration:12 minutes,"Location: Elmwood Park, IL",Occurred : 9/12/2017 06:12  (Entered as : 09/12/17 6:12),Posted: 9/12/2017,Reported: 9/12/2017 4:50:39 AM 04:50,Shape: Light
2,Giagantic silent craft. 7 dim lights with haze around object perfectly in chevron shape.  Went in a straight line then curved & disappeared out of thin air.,Duration:10 seconds,"Location: Centralia, WA",Occurred : 9/11/2017 23:00  (Entered as : 09/11/17 23:00),Posted: 9/12/2017,Reported: 9/12/2017 12:51:56 AM 00:51,Shape: Chevron
3,"Odd blinking high in western sky over what would be towards the oregon coast from PortlandI was in my backyard getting my dogs in and looked up to the west and noticed a steady blinking red and white very high in the sky, I just kept watching it.  Then I noticed more than one helicopter fly past me heading in that direction.  Whatever it is, it's blinking, which caught my eye, looks like it has a tail of some sort.  Totally weird.  I thought it may be the ISS but that's over Great Britain right now.",Duration:ongoing,"Location: Vancouver, WA",Occurred : 9/11/2017 21:19  (Entered as : 20170911 21:19),Posted: 9/12/2017,Reported: 9/11/2017 9:24:05 PM 21:24,Shape: Unknown
4,My mom and step dad say a red sphere flying and they came to get me it had lights underneath and flashed red when it continued to fly away moving fast and almost hovering like and it made a weird sound as it headed towards Silverton.,Duration:5 minutes,"Location: Stayton, OR",Occurred : 9/11/2017 12:20  (Entered as : 9/11/17 12:20),Posted: 9/12/2017,Reported: 9/11/2017 12:34:50 AM 00:34,Shape: Oval
5,"On my way home from the airport, I noticed a vertical bright blue light in the sky.  It changed to a horizontal line, flashing red and green lights at either end, and then back to vertical, with the same red and green lights at either end.  I am a frequent looker at the night sky, as I work the night shift.  This wa something that I have not seen before.",Duration:7 minutes,"Location: Missoula, MT",Occurred : 9/11/2017 06:00  (Entered as : 09/11/17 6:00),Posted: 9/12/2017,Reported: 9/11/2017 5:21:39 AM 05:21,Shape: Changing
6,"Circular object, flashing lights around perimeter, strobe like illumination.UFO Sighting, September 11, 2017, 6am, Alto, Michigan 49302   I awoke and looked out my kitchen window to see a circular object with white and red or orange lights rotating around it.  We live near an airport, so at first, I thought it was a plane, but on closer inspection it seemed round and smaller than an airplane.It moved very slowly in one direction and then hovered.  It was probably one half mile from me in the still dark morning sky.  I was looking towards the west.As it hovered, the lights went around the perimeter of the circular object rotating white/orange.  It seemed to also send out some sort of strobe light that sent a whitish illumination out into the sky around it periodically.This lasted for probably five minutes and then it just disappeared, without moving forward or backward.",Duration:5 minutes,"Location: Alto, MI",Occurred : 9/11/2017 06:00  (Entered as : 09/11/17 6:00),Posted: 9/12/2017,Reported: 9/11/2017 5:31:27 PM 17:31,Shape: Circle
7,"Orange fireball, flying horizontally, stops, hovers, drops hot liquid debris 4-5 times, then flies upwards into space.My husband saw a glowing orange sphere travel east to west outside our large factory window.  He told me to come see what he thought was a “helicopter on fire.”  The object was large, at least the size of a helicopter.  Planes coming and leaving La Guardia airport continued to fly in their usual paths.  They were distinguishable as planes. This object was indistinguishable.  It did not sparkle, but its colors shined with a twinkling quality, and its colors of orange and red rotated or mixed like lava.  It hovered as I approached the window and stayed completely stationary for about three minutes above buildings at about half a mile away.  It was soundless.  My husband said the sphere appeared to be dropping debris.  He saw glowing, orange debris drop four or five times.  I saw it drop debris the last instance.  The debris appeared to be liquid, like molten lava.  It dropped about 20-30 feet and disappeared.The orange and red sphere was only a sphere.  No tail, blade, or landing skids could be seen, which would have been illuminated had it been some kind of aircraft on fire.  At this point, my husband began taking a video with his iPhone. I became very alarmed, thinking, if it were a helicopter, it would be going down, without question, because for that much debris to fall, the interior of the helicopter would have to be completely aflame.  But there was no smoke and no actual flames.  Just the look of something hot and burning, which grew slightly in intensity.  The sphere seemed more to be emitting light than on fire.  Finally, the sphere started flying upwards.  We watched it ascend at a slight angle east another two minutes before it disappeared into far up into space traveling about as fast as a plane, but at an altitude much higher than we have seen planes fly.",Duration:5 minutes,"Location: New York City (Brooklyn), NY",Occurred : 9/10/2017 22:30  (Entered as : 90/10/2017 22:30),Posted: 9/12/2017,Reported: 9/12/2017 12:58:32 PM 12:58,Shape: Fireball
8,"Unusual silent penney sized at arm's length object crossed sky rapidly unusual brownish pale orange band in shape.Object moving East to West silently approx 75 degrees above horizon.  Apparent size that of a penney held at arms length. Object was moving above or through broken clouds which may have contributed to a bit of transluscence.  Color of object was indistinct but seemed to have a brown overtone with some other hints of yellow pale orange that seemed to partially frame a rectangular subshape-curved on the front, squaarish in the rear.  Perhaps oval overall, hard to say.Object went across about a third of the sky in 2 seconds before disappearing behind trees.  I am a regular observer of the night sky, having a telescope for many years.  Never saw an object like this, ever.  Perhaps could have been much higher if perhaps it was a bollide or some object in the upper atmosphere- it would have to have been moving extremely fast.  Did not really look like any shooting star I've ever seen, and I have seen many.((NUFORC Note:  We spoke via telephone with the witness, and he sounded to us to be quite sober-minded.  We suspect that he is an exceptionally capable, and reliable, witness.  PD))",Duration:2 seconds,"Location: Birmingham, AL",Occurred : 9/10/2017 20:00  (Entered as : 09/10/2017 20:00),Posted: 9/12/2017,Reported: 9/10/2017 7:56:39 PM 19:56,Shape: Other
9,"Two orbs appeared side by side with a greenish hue. A third one joined in after a few seconds.I was laying on the hammock outside looking up when I noticed two faint orbs appear that were initially side by side then a third one joined in from behind them.  They were much higher up than a plane would be and were moving side to side ever so slightly.  My mom was outside with me and she saw the same thing.  Slight greenish hue to them.  They disappeared after about 15 seconds and, due to the sun, I could not see them anymore.",Duration:30 seconds,"Location: Watertown, MA",Occurred : 9/10/2017 11:05  (Entered as : 091017 11:05),Posted: 9/12/2017,Reported: 9/10/2017 8:30:07 AM 08:30,Shape: Circle
